Material Novo;Material antigo;Texto breve material;Centro;Depósito;Lote;Quantidade;Valor Unitário;Valor Total;Unidade
50077875;20040593;"LUVA SEG;PE/PU;CZ;P;DANNY/DYFLEX7";BRCM;MR01;O.IMPORTED;12;R$ 38,00;R$ 456,00;Araçatuba
50077875;20040593;"LUVA SEG;PE/PU;CZ;P;DANNY/DYFLEX7";BRCO;MR01;O.IMPORTED;37;R$ 41,78;R$ 1.545,86;Barueri
50077875;20040593;"LUVA SEG;PE/PU;CZ;P;DANNY/DYFLEX7";BRCQ;MR01;O.IMPORTED;8;R$ 43,66;R$ 349,28;Campinas
50077875;20040593;"LUVA SEG;PE/PU;CZ;P;DANNY/DYFLEX7";BRCS;MR01;O.PURCHASE;0;R$ 0,00;R$ 0,00;Embu (SUL)
50077875;20040593;"LUVA SEG;PE/PU;CZ;P;DANNY/DYFLEX7";BRCV;MR01;O.IMPORTED;3;R$ 41,78;R$ 125,34;Jundiai (SALTO)
50077875;20040593;"LUVA SEG;PE/PU;CZ;P;DANNY/DYFLEX7";BRD0;MR01;O.IMPORTED;2;R$ 40,96;R$ 81,91;Presidente Prudente
50077875;20040593;"LUVA SEG;PE/PU;CZ;P;DANNY/DYFLEX7";BRD0;MR01;O.PURCHASE;8;R$ 43,66;R$ 349,29;Presidente Prudente
50077875;20040593;"LUVA SEG;PE/PU;CZ;P;DANNY/DYFLEX7";BRD1;MR01;O.PURCHASE;0;R$ 0,00;R$ 0,00;Ribeirão Preto
50077875;20040593;"LUVA SEG;PE/PU;CZ;P;DANNY/DYFLEX7";BRD2;MR01;O.PURCHASE;13;R$ 43,66;R$ 567,58;São José dos Campos
50077875;20040593;"LUVA SEG;PE/PU;CZ;P;DANNY/DYFLEX7";BRD3;MR01;O.IMPORTED;1;R$ 40,10;R$ 40,10;Suzano
50077875;20040593;"LUVA SEG;PE/PU;CZ;P;DANNY/DYFLEX7";BRD4;MR01;O.IMPORTED;0;R$ 0,00;R$ 0,00;Votorantim (SALTO)
50077875;20040593;"LUVA SEG;PE/PU;CZ;P;DANNY/DYFLEX7";BRD5;MR01;O.PURCHASE;5;R$ 43,66;R$ 218,29;Taubaté
50077875;20040593;"LUVA SEG;PE/PU;CZ;P;DANNY/DYFLEX7";BRD7;MR01;O.IMPORTED;0;R$ 0,00;R$ 0,00;Litoral - Praia Grande
50077876;20040594;"LUVA SEG;PE/PU;CZ;M;DANNY/DYFLEX8";BRCM;MR01;O.IMPORTED;10;R$ 38,00;R$ 380,00;Araçatuba
50077876;20040594;"LUVA SEG;PE/PU;CZ;M;DANNY/DYFLEX8";BRCN;MR01;O.PURCHASE;4;R$ 43,66;R$ 174,64;Araraquara
50077876;20040594;"LUVA SEG;PE/PU;CZ;M;DANNY/DYFLEX8";BRCO;MR01;O.PURCHASE;11;R$ 43,66;R$ 480,26;Barueri
50077876;20040594;"LUVA SEG;PE/PU;CZ;M;DANNY/DYFLEX8";BRCQ;MR01;O.IMPORTED;5;R$ 43,66;R$ 218,30;Campinas
50077876;20040594;"LUVA SEG;PE/PU;CZ;M;DANNY/DYFLEX8";BRCQ;MR01;O.PURCHASE;12;R$ 43,66;R$ 523,92;Campinas
50077876;20040594;"LUVA SEG;PE/PU;CZ;M;DANNY/DYFLEX8";BRCT;MR01;O.IMPORTED;6;R$ 33,47;R$ 200,79;Guarulhos
50077876;20040594;"LUVA SEG;PE/PU;CZ;M;DANNY/DYFLEX8";BRCV;MR01;O.IMPORTED;2;R$ 42,33;R$ 84,66;Jundiai (SALTO)
50077876;20040594;"LUVA SEG;PE/PU;CZ;M;DANNY/DYFLEX8";BRCV;MR01;O.PURCHASE;2;R$ 43,66;R$ 87,32;Jundiai (SALTO)
50077876;20040594;"LUVA SEG;PE/PU;CZ;M;DANNY/DYFLEX8";BRCX;MR01;O.IMPORTED;7;R$ 38,03;R$ 266,18;Mauá
